date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
1,01-01-2021,1,1,January,1,2021,53,Friday,FALSE
2,02-01-2021,2,1,January,1,2021,53,Saturday,TRUE
3,03-01-2021,3,1,January,1,2021,53,Sunday,TRUE
4,04-01-2021,4,1,January,1,2021,1,Monday,FALSE
5,05-01-2021,5,1,January,1,2021,1,Tuesday,FALSE
6,06-01-2021,6,1,January,1,2021,1,Wednesday,FALSE
7,07-01-2021,7,1,January,1,2021,1,Thursday,FALSE
8,08-01-2021,8,1,January,1,2021,1,Friday,FALSE
9,09-01-2021,9,1,January,1,2021,1,Saturday,TRUE
10,10-01-2021,10,1,January,1,2021,1,Sunday,TRUE
11,11-01-2021,11,1,January,1,2021,2,Monday,FALSE
12,12-01-2021,12,1,January,1,2021,2,Tuesday,FALSE
13,13-01-2021,13,1,January,1,2021,2,Wednesday,FALSE
14,14-01-2021,14,1,January,1,2021,2,Thursday,FALSE
15,15-01-2021,15,1,January,1,2021,2,Friday,FALSE
16,16-01-2021,16,1,January,1,2021,2,Saturday,TRUE
17,17-01-2021,17,1,January,1,2021,2,Sunday,TRUE
18,18-01-2021,18,1,January,1,2021,3,Monday,FALSE
19,19-01-2021,19,1,January,1,2021,3,Tuesday,FALSE
20,20-01-2021,20,1,January,1,2021,3,Wednesday,FALSE
21,21-01-2021,21,1,January,1,2021,3,Thursday,FALSE
22,22-01-2021,22,1,January,1,2021,3,Friday,FALSE
23,23-01-2021,23,1,January,1,2021,3,Saturday,TRUE
24,24-01-2021,24,1,January,1,2021,3,Sunday,TRUE
25,25-01-2021,25,1,January,1,2021,4,Monday,FALSE
26,26-01-2021,26,1,January,1,2021,4,Tuesday,FALSE
27,27-01-2021,27,1,January,1,2021,4,Wednesday,FALSE
28,28-01-2021,28,1,January,1,2021,4,Thursday,FALSE
29,29-01-2021,29,1,January,1,2021,4,Friday,FALSE
30,30-01-2021,30,1,January,1,2021,4,Saturday,TRUE
31,31-01-2021,31,1,January,1,2021,4,Sunday,TRUE
32,01-02-2021,1,2,February,1,2021,5,Monday,FALSE
33,02-02-2021,2,2,February,1,2021,5,Tuesday,FALSE
34,03-02-2021,3,2,February,1,2021,5,Wednesday,FALSE
35,04-02-2021,4,2,February,1,2021,5,Thursday,FALSE
36,05-02-2021,5,2,February,1,2021,5,Friday,FALSE
37,06-02-2021,6,2,February,1,2021,5,Saturday,TRUE
38,07-02-2021,7,2,February,1,2021,5,Sunday,TRUE
39,08-02-2021,8,2,February,1,2021,6,Monday,FALSE
40,09-02-2021,9,2,February,1,2021,6,Tuesday,FALSE
41,10-02-2021,10,2,February,1,2021,6,Wednesday,FALSE
42,11-02-2021,11,2,February,1,2021,6,Thursday,FALSE
43,12-02-2021,12,2,February,1,2021,6,Friday,FALSE
44,13-02-2021,13,2,February,1,2021,6,Saturday,TRUE
45,14-02-2021,14,2,February,1,2021,6,Sunday,TRUE
46,15-02-2021,15,2,February,1,2021,7,Monday,FALSE
47,16-02-2021,16,2,February,1,2021,7,Tuesday,FALSE
48,17-02-2021,17,2,February,1,2021,7,Wednesday,FALSE
49,18-02-2021,18,2,February,1,2021,7,Thursday,FALSE
50,19-02-2021,19,2,February,1,2021,7,Friday,FALSE
51,20-02-2021,20,2,February,1,2021,7,Saturday,TRUE
52,21-02-2021,21,2,February,1,2021,7,Sunday,TRUE
